Piece Title,Genre,Bpm,Key,Time Signature,Mode Ionian,Duration in seconds,Instrument 1,Instrument 2,Instrument 3,Instrument 4,Instrument 5,Mood 1,Mood 2,Mood 3,Mood 4,Mood 5,Production Style,Overall Quality,TV PLACEMENT YES: TARGET
Puffin Ditty,1,129,7,2,1,106,47,41,1,10,3,2,1,5,0,0,7,4,0
Shopping Spree,8,115,3,1,1,105,6,11,38,0,0,1,7,0,0,0,4,3,0
Battle Ships,1,75,3,1,5,105,2,3,23,4,50,7,16,19,0,0,5,3,0
Evenfall,1,105,24,1,6,104,2,1,23,6,41,18,9,13,3,0,5,3,0
Tourmaline,4,92,16,1,6,103,11,12,8,0,0,1,7,9,0,0,17,3,0
Peaceful Curiosity,2,124,4,1,1,102,5,10,12,3,0,2,1,4,6,0,7,3,0
"Beginning of Something Beautiful, The",2,91,23,2,6,102,2,41,3,38,6,2,1,4,6,20,5,3,0
Get Jacked,3,106,13,1,6,101,11,12,8,10,0,12,15,3,17,0,18,3,0
Good Morning Bill,2,57,6,1,4,101,38,3,12,0,0,6,7,4,0,0,7,3,0
New King,1,176,13,1,6,99,2,23,10,4,50,8,13,7,0,0,11,2,0
The Ripple Effect,1,75,24,3,6,99,6,0,0,0,0,9,21,3,0,0,14,3,0
Firewine,9,115,5,1,6,98,6,11,28,0,0,6,19,4,0,0,17,4,0
Ascendancy,5,133,21,1,6,98,11,12,8,23,37,15,16,0,0,0,18,2,1
Heavy Waves,1,62,20,5,3,98,27,11,10,12,8,3,8,12,0,0,8,3,0
Imagine Ecuador,4,115,8,1,1,98,12,8,10,51,3,2,5,1,0,0,13,4,0
Cheerful Arcade,4,170,2,1,5,97,12,8,11,0,0,2,1,0,0,0,3,3,0
Dance Fever,6,140,12,1,4,95,12,11,0,0,0,5,1,0,0,0,3,4,0
Why Go,3,110,13,1,2,93,6,12,8,3,10,2,4,6,0,0,13,3,1
Enter the Toy Factory,1,135,11,2,1,93,2,23,10,18,52,2,1,5,0,0,16,5,1
Prisoner of Love - Passion,1,65,20,1,6,92,6,12,8,0,0,18,11,9,0,0,2,4,0
Call me Nemo,5,80,15,3,6,92,11,12,8,1,37,9,15,3,0,0,13,3,0
Folk Melody,1,96,21,1,1,92,6,2,1,3,0,7,13,0,0,0,7,4,0
A Capital Idea,1,107,24,2,2,87,2,38,4,56,0,5,1,0,0,0,4,5,0
Subterranean Ambiance 1,1,90,20,1,6,87,6,38,1,30,0,9,14,4,0,0,7,3,0
34 Attack,5,70,8,1,1,87,11,8,28,0,0,15,16,0,0,0,11,3,0
"A Bigger, Brighter Christmas",1,85,23,1,1,86,2,1,23,38,52,2,1,7,0,0,16,5,1
Lazy Christmas,7,70,24,1,1,85,6,8,11,1,52,2,1,4,6,0,16,3,0
Mining Town Shuffle,6,112,2,1,1,85,12,11,0,0,0,1,5,0,0,0,3,4,0
A Green Adventure,1,120,9,3,1,84,2,1,23,10,11,2,15,5,8,0,3,3,0
Pixel Party,6,130,19,1,6,84,12,11,0,0,0,1,2,0,0,0,3,3,0
A Big Bouncy Christmas,1,190,8,1,1,83,2,5,38,10,52,2,1,5,0,0,16,5,1
